FarmName,DateConcern,HeadTotReam,pigAge
DM2-1,2016-05-27 23:40:34.000,3243,17.96
DM2-2,2016-05-27 23:40:34.000,5634,6.58
DM2-3,2016-05-27 23:40:34.000,6147,10.26
DM2-4,2016-05-27 23:40:34.000,4243,17.71
DM3-4,2016-05-27 23:40:34.000,2071,1.57
DM3-5,2016-05-27 23:40:34.000,2520,17.27
DM4-1,2016-05-27 23:40:34.000,8170,10.05
DM4-2,2016-05-27 23:40:34.000,5825,13.39
DM4-3,2016-05-27 23:40:34.000,5170,8.23
DM4-4,2016-05-27 23:40:34.000,6425,12.92
DM2-1,2016-06-03 23:48:07.000,2384,7.61
DM2-2,2016-06-03 23:48:07.000,5619,7.58
DM2-3,2016-06-03 23:48:07.000,6116,11.26
DM2-4,2016-06-03 23:48:07.000,2318,17.75
DM3-4,2016-06-03 23:48:07.000,4515,1.42
DM3-5,2016-06-03 23:48:07.000,821,17.56
DM4-1,2016-06-03 23:48:07.000,8132,11.05
DM4-2,2016-06-03 23:48:07.000,5439,14.32
DM4-3,2016-06-03 23:48:07.000,5159,9.23
DM4-4,2016-06-03 23:48:07.000,6041,13.84
DM2-1,2016-06-10 23:50:31.000,2590,0.76
DM2-2,2016-06-10 23:50:31.000,5603,8.58
DM2-3,2016-06-10 23:50:31.000,6075,12.26
DM2-4,2016-06-10 23:50:31.000,1117,18.51
DM3-4,2016-06-10 23:50:31.000,4503,2.42
DM3-5,2016-06-10 23:50:31.000,0,0
DM4-1,2016-06-10 23:50:31.000,7524,11.89
DM4-2,2016-06-10 23:50:31.000,3426,15.13
DM4-3,2016-06-10 23:50:31.000,5143,10.23
DM4-4,2016-06-10 23:50:31.000,6004,14.84
DM2-1,2016-06-17 23:52:53.000,3921,1.26
DM2-2,2016-06-17 23:52:53.000,5588,9.58
DM2-3,2016-06-17 23:52:53.000,6043,13.26
DM2-4,2016-06-17 23:52:53.000,2288,9.64
DM3-4,2016-06-17 23:52:53.000,5710,2.75
DM3-5,2016-06-17 23:52:53.000,0,0
DM4-1,2016-06-17 23:52:53.000,7466,12.89
DM4-2,2016-06-17 23:52:53.000,3410,16.13
DM4-3,2016-06-17 23:52:53.000,5115,11.23
DM4-4,2016-06-17 23:52:53.000,5419,15.74
DM2-1,2016-06-24 23:54:55.000,3913,2.26
DM2-2,2016-06-24 23:54:55.000,5574,10.58
DM2-3,2016-06-24 23:54:55.000,6001,14.26
DM2-4,2016-06-24 23:54:55.000,1175,1.29
DM3-4,2016-06-24 23:54:55.000,5694,3.76
DM3-5,2016-06-24 23:54:55.000,2434,0.29
DM4-1,2016-06-24 23:54:55.000,6371,13.63
DM4-2,2016-06-24 23:54:55.000,2126,16.53
DM4-3,2016-06-24 23:54:55.000,5086,12.23
DM4-4,2016-06-24 23:54:55.000,4502,16.46
DM2-1,2016-07-01 23:57:23.000,3898,3.26
DM2-2,2016-07-01 23:57:23.000,5548,11.58
DM2-3,2016-07-01 23:57:23.000,4694,15.16
DM2-4,2016-07-01 23:57:23.000,3566,0.94
DM3-4,2016-07-01 23:57:23.000,5688,4.76
DM3-5,2016-07-01 23:57:23.000,2426,1.29
DM4-1,2016-07-01 23:57:23.000,5436,14.56
DM4-2,2016-07-01 23:57:23.000,2117,17.53
DM4-3,2016-07-01 23:57:23.000,5067,13.23
DM4-4,2016-07-01 23:57:23.000,2462,17
